N,P,K,temperature,humidity,ph,rainfall,crop,yield,fertilizer
90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,rice,71.19942821,DAP
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,81.62019871,DAP
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice,80.47312983,Gypsum
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice,75.17819601,DAP
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice,75.48556318,Gypsum
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice,71.57202984,DAP
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice,75.41951123,Lime
94,53,40,20.27774362,82.89408619,5.718627178,241.9741949,rice,83.88286775,Lime
89,54,38,24.51588066,83.5352163,6.685346424,230.4462359,rice,78.98599716,DAP
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice,74.83826325,DAP
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,rice,78.65047793,Lime
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice,85.07996847,Gypsum
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,rice,88.42496161,Lime
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice,68.96982979,DAP
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice,71.78146852,DAP
60,48,39,24.28209415,80.30025587,7.042299069,231.0863347,rice,68.06157517,DAP
85,38,41,21.58711777,82.7883708,6.249050656,276.6552459,rice,79.76561577,DAP
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,rice,71.95358102,DAP
77,38,36,21.8652524,80.1923008,5.953933276,224.5550169,rice,70.60154803,Lime
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618,rice,82.05188443,Lime
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,rice,70.03950179,DAP
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,rice,70.34057141,Lime
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,rice,69.51890612,DAP
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,rice,74.14095301,DAP
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,rice,76.95738615,DAP
66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,rice,80.42913255,Gypsum
97,59,43,26.35927159,84.04403589,6.286500176,271.3586137,rice,84.38383565,DAP
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,rice,83.79992003,DAP
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,rice,74.35038216,DAP
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,rice,66.06244198,DAP
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,rice,82.71844287,Lime
92,35,40,22.17931888,80.33127223,6.357389366,200.0882787,rice,67.57315056,DAP
85,37,39,24.52783742,82.73685569,6.364134968,224.6757231,rice,69.43296395,DAP
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,rice,89.2478934,Lime
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,rice,83.81036167,DAP
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,rice,77.42302503,Lime
99,57,35,26.75754171,81.17734011,5.960370061,272.2999056,rice,84.17866722,Lime
95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,rice,80.54991688,Lime
60,43,44,21.01944696,82.95221726,7.416245107,298.4018471,rice,83.16221052,DAP
63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,rice,74.93435833,Lime
62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,rice,69.07748525,DAP
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,rice,69.1828529,Lime
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,rice,68.07893201,DAP
82,40,40,23.83067496,84.81360127,6.271478838,298.5601175,rice,89.08237109,DAP
85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,rice,80.91983619,DAP
91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,rice,69.78957835,DAP
76,49,42,24.958779,84.47963372,5.206373153,196.9560008,rice,68.23530813,Lime
74,39,38,23.24113501,84.59201843,7.782051313,233.0453455,rice,73.45810508,Gypsum
79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,rice,71.4862398,DAP
88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,rice,79.17104932,Gypsum
60,36,43,23.43121862,83.06310136,5.286203711,219.9048349,rice,72.97393407,Lime
76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,rice,75.14273361,DAP
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,rice,78.67492549,DAP
65,60,43,21.97199397,81.89918197,5.658169482,227.3637009,rice,77.73867166,Lime
95,52,36,26.22916897,83.83625819,5.543360238,286.5083725,rice,87.99330241,Lime
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,rice,85.11511502,DAP
74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,rice,69.07236925,DAP
91,36,45,24.44345477,82.45432595,5.950647577,267.9761948,rice,79.08863305,Lime
71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,rice,62.67118835,DAP
99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,rice,84.41923294,DAP
72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,rice,73.16056571,Gypsum
83,58,45,25.75528612,83.51827127,5.875345751,245.6626799,rice,78.4215499,Lime
93,58,38,20.61521424,83.77345559,6.932400225,279.5451717,rice,89.69787786,DAP
70,36,42,21.84106875,80.72886384,6.946209881,202.3838319,rice,65.92403279,DAP
76,47,42,20.08369642,83.29114712,5.739175027,263.6372176,rice,77.10328834,Lime
99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,rice,70.89264113,DAP
99,54,37,21.14347496,80.33502926,5.594819626,198.6730942,rice,70.64727975,Lime
86,59,35,25.78720567,82.11124033,6.946636369,243.5120414,rice,82.68061607,DAP
69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,rice,73.20659964,Lime
91,56,37,23.43191632,80.56887849,6.363472208,269.5039162,rice,88.79905711,DAP
61,52,41,24.97669518,83.891805,6.880431223,204.8001847,rice,71.5113901,DAP
67,45,38,22.72791041,82.1706881,7.300410836,260.8875056,rice,73.55520413,DAP
79,42,37,24.87300744,82.84022551,6.587918708,295.6094492,rice,78.80614965,DAP
78,43,42,21.32376327,83.00320459,7.283736617,192.3197536,rice,71.8778346,DAP
75,54,36,26.29465461,84.56919326,7.023936392,257.4914906,rice,81.33227227,DAP
97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,rice,87.00155387,DAP
67,47,44,26.73072391,81.78596776,7.868474653,280.4044392,rice,83.85530971,Gypsum
73,35,38,24.88921174,81.97927117,5.005306977,185.9461429,rice,60.62001229,Lime
77,36,37,26.88444878,81.46033732,6.136131869,194.5766559,rice,65.87605406,DAP
81,41,38,22.67846116,83.72874389,7.524080076,200.9133156,rice,66.11502045,Gypsum
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,rice,71.1695761,Lime
72,45,35,25.42977518,82.94682591,5.758506323,195.3574542,rice,68.63803546,Lime
61,53,43,26.40323239,81.05635517,6.349606327,223.3671883,rice,70.1124582,DAP
67,43,39,26.04371967,84.96907151,5.999969026,186.7536773,rice,61.34990957,Lime
